516	3919
517	3944
518	3897
519	3874
520	4048
521	3991
522	4027
523	4115
524	3846
525	3902
526	3900
527	3908
528	3845
529	3943
530	3747
531	3886
532	3916
533	3693
534	3633
535	3812
536	3702
537	3761
538	3676
539	3657
540	3685
541	3540
542	3678
543	3580
544	3521
545	3511
546	3560
547	3501
548	3584
549	3520
550	3551
551	3368
552	3375
553	3505
554	3449
555	3375
556	3458
557	3456
558	3402
559	3394
560	3289
561	3396
562	3473
563	3415
564	3419
565	3386
566	3330
567	3317
568	3339
569	3292
570	3158
571	3265
572	3227
573	3316
574	3306
575	3273
576	3237
577	3205
578	3170
579	3271
580	3301
581	3284
582	3295
583	3235
584	3330
585	3265
586	3286
587	3258
588	3200
589	3279
590	3188
591	3157
592	3210
593	3191
594	3108
595	3156
596	3162
597	3099
598	3126
599	3021
600	2951
601	3066
602	2919
603	3099
604	3030
605	2917
606	2996
607	2912
608	2933
609	2967
610	3072
611	2952
612	3019
613	2833
614	2988
615	2919
616	3000
617	2851
618	2946
619	3071
620	2950
621	2952
622	2918
623	2874
624	2902
625	2969
626	2842
627	2772
628	2843
629	2820
630	2813
631	2745
632	2825
633	2830
634	2734
635	2797
636	2696
637	2783
638	2719
639	2756
640	2757
641	2701
642	2674
643	2558
644	2743
645	2634
646	2652
647	2571
648	2698
649	2636
650	2598
651	2566
652	2476
653	2657
654	2589
655	2559
656	2615
657	2626
658	2634
659	2603
660	2576
661	2549
662	2515
663	2535
664	2488
665	2491
666	2490
667	2551
668	2505
669	2571
670	2543
671	2505
672	2534
673	2481
674	2513
675	2563
676	2566
677	2447
678	2498
679	2496
680	2438
681	2488
682	2438
683	2451
684	2444
685	2421
686	2380
687	2356
688	2389
689	2427
690	2403
691	2447
692	2376
693	2471
694	2455
695	2387
696	2397
697	2332
698	2405
699	2360
700	2371
701	2389
702	2280
703	2308
704	2300
705	2303
706	2252
707	2244
708	2283
709	2342
710	2339
711	2380
712	2358
713	2255
714	2224
715	2278
716	2287
717	2312
718	2322
719	2294
720	2222
721	2248
722	2306
723	2233
724	2248
725	2251
726	2221
727	2248
728	2100
729	2177
730	2192
731	2188
732	2239
733	2187
734	2169
735	2187
736	2144
737	2143
738	2154
739	2180
740	2144
741	2105
742	2193
743	2099
744	2100
745	2125
746	2090
747	2120
748	2101
749	2004
750	2072
751	2084
752	2126
753	2192
754	2084
755	2197
756	2081
757	2076
758	2078
759	2043
760	2077
761	2041
762	2115
763	2127
764	2044
765	2064
766	2034
767	2084
768	1987
769	2102
770	1995
771	2071
772	2002
773	1982
774	1951
775	2048
776	1965
777	1916
778	1933
779	1981
780	1938
781	1931
782	1987
783	1990
784	2007
785	1941
786	2003
787	1987
788	1935
789	1955
790	2014
791	1921
792	1933
793	1923
794	1946
795	1896
796	1874
797	1866
798	1897
799	1798
800	1910
801	1838
802	1839
803	1775
804	1861
805	1773
806	1865
807	1835
808	1836
809	1802
810	1897
811	1809
812	1827
813	1859
814	1890
815	1865
816	1810
817	1853
818	1800
819	1829
820	1745
821	1791
822	1739
823	1760
824	1788
825	1735
826	1697
827	1718
828	1667
829	1714
830	1698
831	1746
832	1684
833	1698
834	1668
835	1658
836	1736
837	1650
838	1632
839	1734
840	1701
841	1753
842	1654
843	1693
844	1756
845	1649
846	1665
847	1631
848	1732
849	1698
850	1723
851	1668
852	1711
853	1686
854	1730
855	1784
856	1624
857	1630
858	1628
859	1644
860	1614
861	1644
862	1655
863	1560
864	1618
865	1674
866	1569
867	1557
868	1517
869	1514
870	1574
871	1549
872	1613
873	1558
874	1586
875	1479
876	1588
877	1554
878	1491
879	1549
880	1526
881	1501
882	1541
883	1499
884	1539
885	1551
886	1538
887	1499
888	1496
889	1512
890	1532
891	1541
892	1520
893	1516
894	1489
895	1541
896	1497
897	1452
898	1425
899	1436
900	1592
901	1485
902	1470
903	1408
904	1383
905	1442
906	1415
907	1411
908	1408
909	1441
910	1399
911	1374
912	1376
913	1380
914	1413
915	1385
916	1367
917	1397
918	1420
919	1436
920	1420
921	1389
922	1360
923	1435
924	1377
925	1415
926	1331
927	1333
928	1282
929	1317
930	1261
931	1339
932	1316
933	1278
934	1338
935	1267
936	1332
937	1312
938	1334
939	1320
940	1346
941	1243
942	1285
943	1340
944	1291
945	1317
946	1317
947	1217
948	1274
949	1205
950	1283
951	1242
952	1227
953	1214
954	1304
955	1279
956	1198
957	1269
958	1229
959	1245
960	1239
961	1215
962	1177
963	1212
964	1211
965	1225
966	1177
967	1189
968	1250
969	1213
970	1195
971	1185
972	1291
973	1233
974	1230
975	1187
976	1206
977	1219
978	1173
979	1144
980	1121
981	1258
982	1154
983	1175
984	1118
985	1151
986	1190
987	1210
988	1162
989	1134
990	1126
991	1107
992	1152
993	1125
994	1146
995	1240
996	1062
997	1098
998	1081
999	1088
1000	1104
1001	1116
1002	1072
1003	1026
1004	1142
1005	1034
1006	1102
1007	1065
1008	1021
1009	1058
1010	1027
1011	1097
1012	1053
1013	1053
1014	1001
1015	1056
1016	998
1017	1025
1018	1019
1019	1077
1020	973
1021	1043
1022	1068
1023	1018
1024	1019
1025	991
1026	975
1027	994
1028	1049
1029	1011
1030	976
1031	984
1032	999
1033	1001
1034	997
1035	991
1036	956
1037	1034
1038	944
1039	1049
1040	984
1041	1011
1042	971
1043	979
1044	962
1045	1002
1046	988
1047	912
1048	926
1049	975
1050	955
1051	989
1052	914
1053	948
1054	1007
1055	896
1056	904
1057	933
1058	905
1059	952
1060	920
1061	891
1062	874
1063	937
1064	929
1065	872
1066	920
1067	931
1068	897
1069	909
1070	877
1071	865
1072	939
1073	882
1074	879
1075	870
1076	820
1077	924
1078	901
1079	833
1080	891
1081	927
1082	882
1083	872
1084	896
1085	865
1086	915
1087	965
1088	899
1089	929
1090	842
1091	889
1092	875
1093	824
1094	920
1095	868
1096	866
1097	910
1098	856
1099	894
1100	901
1101	921
1102	881
1103	872
1104	907
1105	823
1106	802
1107	818
1108	788
1109	811
1110	786
1111	864
1112	832
1113	820
1114	813
1115	804
1116	743
1117	769
1118	786
1119	753
1120	766
1121	773
1122	806
1123	767
1124	786
1125	741
1126	734
1127	774
1128	791
1129	728
1130	812
1131	705
1132	767
1133	733
1134	754
1135	712
1136	730
1137	760
1138	759
1139	702
1140	758
1141	742
1142	713
1143	733
1144	726
1145	680
1146	762
1147	740
1148	720
1149	737
1150	787
1151	759
1152	734
1153	767
1154	719
1155	729
1156	741
1157	760
1158	747
1159	696
1160	705
1161	769
1162	738
1163	682
1164	691
1165	731
1166	738
1167	692
1168	745
1169	711
1170	694
1171	725
1172	698
1173	657
1174	707
1175	719
1176	701
1177	674
1178	696
1179	677
1180	656
1181	657
1182	638
1183	688
1184	647
1185	677
1186	699
1187	678
1188	695
1189	643
1190	684
1191	692
1192	667
1193	719
1194	656
1195	619
1196	653
1197	698
1198	686
1199	624
1200	661
1201	659
1202	673
1203	667
1204	681
1205	666
1206	702
1207	647
1208	681
1209	674
1210	659
1211	678
1212	686
1213	665
1214	674
1215	633
1216	670
1217	658
1218	677
1219	700
1220	673
1221	622
1222	587
1223	622
1224	621
1225	630
1226	605
1227	664
1228	622
1229	619
1230	649
1231	622
1232	615
1233	593
1234	603
1235	615
1236	610
1237	573
1238	587
1239	617
1240	582
1241	612
1242	642
1243	605
1244	571
1245	627
1246	583
1247	582
1248	641
1249	593
1250	581
1251	566
1252	574
1253	577
1254	555
1255	563
1256	566
1257	630
1258	596
1259	573
1260	603
1261	557
1262	527
1263	551
1264	560
1265	562
1266	565
1267	591
1268	547
1269	524
1270	565
1271	565
1272	582
1273	525
1274	557
1275	566
1276	601
1277	547
1278	581
1279	516
1280	516
1281	529
1282	559
1283	558
1284	545
1285	599
1286	559
1287	545
1288	543
1289	565
1290	552
1291	575
1292	520
1293	566
1294	571
1295	538
1296	510
1297	538
1298	580
1299	541
1300	530
1301	523
1302	514
1303	517
1304	533
1305	516
1306	500
1307	510
1308	518
1309	535
1310	519
1311	507
1312	514
1313	503
1314	533
1315	488
1316	478
1317	540
1318	451
1319	486
1320	453
1321	473
1322	498
1323	512
1324	497
1325	456
1326	528
1327	462
1328	486
1329	498
1330	497
1331	503
1332	524
1333	511
1334	452
1335	468
1336	498
1337	481
1338	498
1339	499
1340	468
1341	511
1342	510
1343	490
1344	494
1345	506
1346	479
1347	462
1348	463
1349	429
1350	474
1351	464
1352	430
1353	447
1354	455
1355	450
1356	465
1357	464
1358	445
1359	454
1360	449
1361	470
1362	438
1363	492
1364	435
1365	468
1366	444
1367	449
1368	445
1369	451
1370	447
1371	469
1372	478
1373	468
1374	446
1375	394
1376	427
1377	462
1378	474
1379	429
1380	431
1381	450
1382	423
1383	440
1384	468
1385	435
1386	466
1387	445
1388	450
1389	418
1390	465
1391	446
1392	417
1393	378
1394	438
1395	425
1396	433
1397	413
1398	406
1399	386
1400	413
1401	430
1402	438
1403	394
1404	394
1405	410
1406	402
1407	383
1408	422
1409	411
1410	453
1411	441
1412	430
1413	439
1414	393
1415	423
1416	425
1417	450
1418	419
1419	461
1420	452
1421	446
1422	417
1423	411
1424	421
1425	410
1426	443
1427	426
1428	405
1429	415
1430	479
1431	415
1432	394
1433	449
1434	429
1435	426
1436	381
1437	385
1438	410
1439	411
1440	414
1441	407
1442	387
1443	408
1444	366
1445	399
1446	348
1447	383
1448	359
1449	364
1450	395
1451	370
1452	378
1453	378
1454	330
1455	363
1456	405
1457	359
1458	362
1459	363
1460	379
1461	385
1462	394
1463	372
1464	368
1465	393
1466	374
1467	379
1468	387
1469	361
1470	387
1471	381
1472	369
1473	387
1474	370
1475	398
1476	377
1477	386
1478	409
1479	388
1480	349
1481	391
1482	407
1483	392
1484	409
1485	396
1486	390
1487	412
1488	403
1489	408
1490	378
1491	376
1492	424
1493	385
1494	368
1495	372
1496	337
1497	372
1498	414
1499	358
1500	344
1501	388
1502	392
1503	345
1504	379
1505	368
1506	367
1507	358
1508	382
1509	368
1510	413
1511	376
1512	346
1513	339
1514	368
1515	340
1516	342
1517	326
1518	337
1519	376
1520	318
1521	339
1522	335
1523	358
1524	365
1525	366
1526	339
1527	334
1528	308
1529	361
1530	382
1531	328
1532	333
1533	325
1534	329
1535	366
1536	373
1537	338
1538	332
1539	379
1540	381
1541	339
1542	339
1543	369
1544	338
1545	329
1546	328
1547	344
1548	319
1549	354
1550	361
1551	337
1552	340
1553	340
1554	339
1555	349
1556	356
1557	328
1558	333
1559	344
1560	321
1561	321
1562	334
1563	302
1564	339
1565	315
1566	351
1567	327
1568	320
1569	310
1570	309
1571	264
1572	312
1573	353
1574	293
1575	345
1576	315
1577	328
1578	339
1579	336
1580	314
1581	325
1582	320
1583	311
1584	306
1585	326
1586	303
1587	294
1588	333
1589	306
1590	317
1591	304
1592	304
1593	308
1594	299
1595	353
1596	299
1597	300
1598	265
1599	319
1600	279
1601	315
1602	339
1603	304
1604	357
1605	314
1606	343
1607	290
1608	321
1609	307
1610	297
1611	346
1612	315
1613	287
1614	312
1615	325
1616	317
1617	297
1618	307
1619	294
1620	297
1621	327
1622	313
1623	319
1624	340
1625	326
1626	319
1627	313
1628	347
1629	321
1630	303
1631	333
1632	307
1633	320
1634	309
1635	298
1636	326
1637	323
1638	287
1639	313
1640	329
1641	304
1642	309
1643	317
1644	302
1645	280
1646	310
1647	289
1648	307
1649	291
1650	288
1651	307
1652	284
1653	305
1654	334
1655	340
1656	321
1657	317
1658	315
1659	305
1660	323
1661	304
1662	320
1663	299
1664	287
1665	260
1666	287
1667	288
1668	320
1669	289
1670	301
1671	313
1672	297
1673	311
1674	290
1675	305
1676	307
1677	286
1678	278
1679	324
1680	289
